Intensities,PSG_Angles,PSA_Angles
5.320248911956989e-05,0.0,0.0
0.00021294969776852114,6.0,18.0
0.0005052128742340097,12.0,36.0
9.286147908184592e-05,18.0,54.0
0.0007446741150200445,24.0,72.0
