region,x,y,side,IW_Theta,IP_Theta,CW_Theta,CP_Theta,wavelength,intensity,integration_time
A,0.0,0.0,x,0,-45,-45,-45,462.4589799296591,1702.0,500000
A,0.0,0.0,x,0,-45,-45,-45,463.24239076385857,1694.0,500000
A,0.0,0.0,x,0,-45,-45,-45,464.02572932854673,1707.0,500000
A,0.0,0.0,x,0,-45,-45,-45,464.8089956237236,1694.0,500000
A,0.0,0.0,x,0,-45,-45,-45,465.5921896493892,1696.0,500000
A,0.0,0.0,x,0,-45,-45,-45,466.37531140554347,1693.0,500000
A,0.0,0.0,x,0,-45,-45,-45,467.15836089218647,1697.0,500000
A,0.0,0.0,x,0,-45,-45,-45,467.94133810931817,1691.0,500000
A,0.0,0.0,x,0,-45,-45,-45,468.7242430569386,1699.0,500000
A,0.0,0.0,x,0,-45,-45,-45,469.5070757350477,1693.0,500000
A,0.0,0.0,x,0,-45,-45,-45,470.2898361436455,1691.0,500000
A,0.0,0.0,x,0,-45,-45,-45,471.07252428273205,1696.0,500000
A,0.0,0.0,x,0,-45,-45,-45,471.8551401523073,1697.0,500000
A,0.0,0.0,x,0,-45,-45,-45,472.63768375237123,1693.0,500000
A,0.0,0.0,x,0,-45,-45,-45,473.4201550829239,1697.0,500000
A,0.0,0.0,x,0,-45,-45,-45,474.20255414396524,1697.0,500000
A,0.0,0.0,x,0,-45,-45,-45,474.9848809354953,1699.0,500000
A,0.0,0.0,x,0,-45,-45,-45,475.7671354575141,1708.0,500000
A,0.0,0.0,x,0,-45,-45,-45,476.54931771002157,1702.0,500000
A,0.0,0.0,x,0,-45,-45,-45,477.33142769301776,1693.0,500000
A,0.0,0.0,x,0,-45,-45,-45,478.11346540650266,1696.0,500000
A,0.0,0.0,x,0,-45,-45,-45,478.89543085047626,1698.0,500000
A,0.0,0.0,x,0,-45,-45,-45,479.67732402493857,1698.0,500000
A,0.0,0.0,x,0,-45,-45,-45,480.4591449298896,1695.0,500000
A,0.0,0.0,x,0,-45,-45,-45,481.2408935653293,1689.0,500000
A,0.0,0.0,x,0,-45,-45,-45,482.02256993125775,1704.0,500000
A,0.0,0.0,x,0,-45,-45,-45,482.8041740276749,1697.0,500000
A,0.0,0.0,x,0,-45,-45,-45,483.58570585458074,1701.0,500000
A,0.0,0.0,x,0,-45,-45,-45,484.3671654119753,1704.0,500000
A,0.0,0.0,x,0,-45,-45,-45,485.14855269985856,1698.0,500000
A,0.0,0.0,x,0,-45,-45,-45,485.9298677182305,1703.0,500000
A,0.0,0.0,x,0,-45,-45,-45,486.7111104670912,1700.0,500000
A,0.0,0.0,x,0,-45,-45,-45,487.4922809464406,1701.0,500000
A,0.0,0.0,x,0,-45,-45,-45,488.2733791562787,1702.0,500000
A,0.0,0.0,x,0,-45,-45,-45,489.0544050966055,1703.0,500000
A,0.0,0.0,x,0,-45,-45,-45,489.835358767421,1704.0,500000
A,0.0,0.0,x,0,-45,-45,-45,490.6162401687252,1704.0,500000
A,0.0,0.0,x,0,-45,-45,-45,491.3970493005181,1707.0,500000
A,0.0,0.0,x,0,-45,-45,-45,492.17778616279975,1709.0,500000
A,0.0,0.0,x,0,-45,-45,-45,492.9584507555701,1714.0,500000
A,0.0,0.0,x,0,-45,-45,-45,493.7390430788291,1712.0,500000
A,0.0,0.0,x,0,-45,-45,-45,494.5195631325769,1707.0,500000
A,0.0,0.0,x,0,-45,-45,-45,495.30001091681333,1715.0,500000
A,0.0,0.0,x,0,-45,-45,-45,496.0803864315385,1712.0,500000
A,0.0,0.0,x,0,-45,-45,-45,496.8606896767524,1712.0,500000
A,0.0,0.0,x,0,-45,-45,-45,497.64092065245495,1722.0,500000
A,0.0,0.0,x,0,-45,-45,-45,498.42107935864624,1721.0,500000
A,0.0,0.0,x,0,-45,-45,-45,499.20116579532623,1715.0,500000
A,0.0,0.0,x,0,-45,-45,-45,499.98117996249493,1723.0,500000
A,0.0,0.0,x,0,-45,-45,-45,500.76112186015234,1724.0,500000
A,0.0,0.0,x,0,-45,-45,-45,501.54099148829846,1723.0,500000
A,0.0,0.0,x,0,-45,-45,-45,502.3207888469333,1721.0,500000
A,0.0,0.0,x,0,-45,-45,-45,503.1005139360568,1714.0,500000
A,0.0,0.0,x,0,-45,-45,-45,503.88016675566905,1732.0,500000
A,0.0,0.0,x,0,-45,-45,-45,504.65974730577,1722.0,500000
A,0.0,0.0,x,0,-45,-45,-45,505.43925558635965,1725.0,500000
A,0.0,0.0,x,0,-45,-45,-45,506.218691597438,1720.0,500000
A,0.0,0.0,x,0,-45,-45,-45,506.9980553390051,1735.0,500000
A,0.0,0.0,x,0,-45,-45,-45,507.77734681106085,1725.0,500000
